Season,Height (inches),Weight (lbs),Player,DBs,PFF Offense Grade,Passing Yards / Game,Rushing Yards / Game,BTTs,TWPs,BTT per DB,TWP per DB
2024,73,215,Caleb Williams,394,65,201.6,30.6,10,9,0.03,0.02
2024,76,210,Jayden Daniels,365,85.8,212.5,43.8,12,6,0.03,0.02
2024,74,217,Bo Nix,412,71,206.8,26.8,12,6,0.03,0.01
2024,76,225,Drake Maye,234,71.5,176.6,37.1,9,13,0.04,0.06
2023,70,204,Bryce Young,622,56,179.8,15.8,18,22,0.03,0.04
2023,75,218,CJ Stroud,618,83.2,273.9,11.1,26,18,0.04,0.03
2022,75,220,Kenny Pickett,444,75.5,184.9,18.2,18,12,0.04,0.03
2021,78,220,Trevor Lawrence,668,59.6,214.2,19.6,22,26,0.03,0.04
2021,74,214,Zach Wilson,444,59.3,179.5,14.2,10,18,0.02,0.04
2021,75,227,Justin Fields,353,64.2,155.8,35,18,14,0.05,0.04
2021,75,220,Mac Jones,609,80,223.6,7.6,26,16,0.04,0.03
2020,76,215,Joe Burrow,453,75.1,268.8,14.2,15,15,0.03,0.03
2020,73,225,Tua Tagovailoa,326,65.4,181.4,10.9,7,13,0.02,0.04
2020,78,236,Justin Herbert,653,79.9,289.1,15.6,31,16,0.05,0.02
2019,70,207,Kyler Murray,620,64.2,232.6,34,23,18,0.04,0.03
2019,77,230,Daniel Jones,527,65.5,232.8,26,20,31,0.04,0.06
2018,71,215,Baker Mayfield,531,83.2,266.1,7.2,40,18,0.08,0.03
2018,75,225,Sam Darnold,460,64.7,220.4,13.7,16,21,0.03,0.05
2018,77,237,Josh Allen,396,65.3,172.8,52.6,17,22,0.04,0.06
2018,76,215,Josh Rosen,453,49.1,162.7,4.5,19,24,0.04,0.05
2018,74,205,Lamar Jackson,243,56.1,75.1,79.4,7,11,0.03,0.05
2017,74,220,Mitchell Trubisky,386,66.4,182.8,21.6,14,12,0.04,0.03
2017,75,223,Deshaun Watson,241,68.1,242.7,38.4,17,12,0.07,0.05
2016,76,217,Jared Goff,234,42.9,155.6,1.2,3,12,0.01,0.05
2016,77,237,Carson Wentz,662,69.9,236.4,15.1,17,27,0.03,0.04
2015,76,231,Jameis Winston,597,67.1,252.3,12.4,27,33,0.05,0.06
2015,76,222,Marcus Mariota,424,62,234.6,25.1,9,21,0.02,0.05
2014,77,236,Blake Bortles,550,46.7,207.4,20.3,12,25,0.02,0.05
2014,74,212,Teddy Bridgewater,474,75.6,224.5,16.2,14,11,0.03,0.02
2013,76,237,EJ Manuel,358,53,197.2,25.8,8,19,0.02,0.05
2012,76,240,Andrew Luck,764,66.7,273.4,21.2,51,43,0.07,0.06
2012,74,213,Robert Griffin III,488,81.4,213.3,54.3,16,12,0.03,0.02
2012,76,217,Ryan Tannehill,532,68.4,210.3,13.3,27,13,0.05,0.02
2012,75,230,Brandon Weeden,559,50.1,244,1.5,17,38,0.03,0.07
2011,77,245,Cam Newton,600,67.2,253.2,47.9,45,28,0.08,0.05
2011,77,235,Blaine Gabbert,475,31.2,147.6,16,13,21,0.03,0.04
2011,74,230,Christian Ponder,342,51.9,185.8,20.7,15,21,0.04,0.06
2010,76,224,Sam Bradford,640,65.1,233.4,6.5,24,22,0.04,0.03
2009,75,214,Matthew Stafford,416,45.2,226.6,2,13,21,0.03,0.05
2009,74,232,Mark Sanchez,475,54.6,162.9,12.8,21,24,0.04,0.05
2008,76,220,Matt Ryan,517,78.8,215,1.7,37,18,0.07,0.03
2008,78,230,Joe Flacco,553,65.2,185.7,4.1,17,21,0.03,0.04
2006,77,232,Vince Young,430,51.5,149.2,39.4,19,30,0.04,0.07
2006,77,225,Matt Leinart,412,58,212.6,3.4,14,17,0.03,0.04
