Year(s),Cornerback,Height,Weight,Arm,Hand,40 Time,Total Coverage Snaps,Total Targets,Total Receptions,Total Yards Allowed,Total INTs,Total Pass Breakups,Total Touchdowns Allowed,Opposing Passer Rating,Coverage Snaps / Target,Coverage Snaps / Reception,INTs / 35CS,PBUs / 35CS,TDs allowed / 35CS,YA / 35CS,Height Percentile,Weight Percentile,Arm Percentile,Hand Percentile,40 Time Percentile,Opposing Passer Rating,Coverage Snaps / Target,Coverage Snaps / Reception,INTs / 35CS,PBUs / 35CS,TDs allowed / 35CS,YA / 35CS
2011,Patrick Peterson,72,219,32.000,9.25,4.34,664,113,67,869,2,7,3,85,5.88,9.91,0.11,0.37,0.16,45.81,0.393,1,0.607,0.639,0.869,0.59,0.295,0.377,0.367,0.317,0.689,0.377
2013,Xavier Rhodes,73,210,33.750,9.5,4.43,457,76,43,451,0,12,1,78.3,6.01,10.63,0.00,0.92,0.08,34.54,0.721,0.967,0.984,0.836,0.377,0.738,0.377,0.475,0,0.95,0.836,0.738
2006,Antonio Cromartie,74,210,33.500,9.25,4.38,429,47,24,375,0,5,3,99.2,9.13,17.88,0.00,0.41,0.24,30.59,0.902,0.967,0.951,0.639,0.738,0.361,0.918,0.934,0,0.45,0.475,0.836
2016,Jalen Ramsey,73,209,33.375,9.5,4.41,638,102,54,703,2,11,3,76.6,6.25,11.81,0.11,0.60,0.16,38.57,0.721,0.934,0.918,0.836,0.475,0.754,0.426,0.705,0.4,0.633,0.656,0.59
2006,Jason Allen,73,209,31.250,9.5,4.39,154,9,5,80,1,1,1,82.9,17.11,30.80,0.23,0.23,0.23,18.18,0.721,0.934,0.328,0.836,0.623,0.705,1,1,0.75,0.15,0.492,0.967
2011,Prince Amukamara,72,206,30.500,8.5,4.43,151,20,14,259,1,0,2,125,7.55,10.79,0.23,0.00,0.46,60.03,0.393,0.918,0.066,0.049,0.377,0.049,0.836,0.525,0.783,0,0.148,0.082
2020,Jeff Okudah,73,205,32.625,9.125,4.48,266,50,38,579,1,1,1,112,5.32,7.00,0.13,0.13,0.13,76.18,0.721,0.869,0.754,0.59,0.246,0.115,0.082,0.033,0.533,0.067,0.754,0
2023-2024,Christian Gonzalez,73,205,32.000,9.5,4.38,573,91,54,564,2,7,2,75.5,6.30,10.61,0.12,0.43,0.12,34.45,0.721,0.869,0.607,0.836,0.738,0.787,0.459,0.459,0.467,0.5,0.803,0.77
2023,Deonte Banks,72,205,31.375,9.375,4.35,496,92,53,644,2,6,4,84.7,5.39,9.36,0.14,0.42,0.28,45.44,0.393,0.869,0.443,0.787,0.852,0.623,0.115,0.279,0.583,0.483,0.344,0.393
2009,Malcolm Jenkins,72,204,33.000,10,4.53,317,67,46,670,1,5,2,104.7,4.73,6.89,0.11,0.55,0.22,73.97,0.393,0.82,0.803,0.984,0.033,0.262,0.049,0.016,0.417,0.6,0.525,0.016
2020,C.J. Henderson,73,204,31.625,9,4.39,270,46,30,390,1,6,4,111.7,5.87,9.00,0.13,0.78,0.52,50.56,0.721,0.82,0.508,0.328,0.623,0.148,0.262,0.197,0.483,0.817,0.082,0.246
2016,Vernon Hargreaves III,70,204,30.625,8.75,4.5,634,113,80,1065,1,7,2,102.6,5.61,7.93,0.06,0.39,0.11,58.79,0,0.82,0.115,0.131,0.164,0.295,0.18,0.098,0.25,0.367,0.82,0.098
2014,Justin Gilbert,72,202,33.125,8.625,4.37,270,48,29,379,1,7,1,83.6,5.63,9.31,0.13,0.91,0.13,49.13,0.393,0.77,0.869,0.082,0.82,0.672,0.197,0.262,0.483,0.9,0.787,0.262
